Sample_name	Weight
DTXSID0020365	1.0
DTXSID0020319	1.0
DTXSID0020151	1.0
DTXSID0020442	1.0
DTXSID0020440	1.0
DTXSID0020573	1.0
DTXSID0020606	1.0
DTXSID0020814	1.0
DTXSID0021127	1.0
DTXSID0021333	1.0
DTXSID0021389	1.0
DTXSID0021460	1.0
DTXSID0021464	1.0
DTXSID0021961	1.0
DTXSID0021969	1.0
DTXSID0022353	1.0
DTXSID0022018	1.0
DTXSID0022436	1.0
DTXSID0022480	1.0
DTXSID0023113	1.0
DTXSID0024266	1.0
DTXSID0024638	1.0
DTXSID0025101	1.0
DTXSID0026171	1.0
DTXSID1027390	1.0
DTXSID1027926	1.0
DTXSID4035708	1.0
DTXSID7026314	1.0
DTXSID7027837	1.0
DTXSID9027863	1.0
DTXSID0026252	1.0
DTXSID0027721	1.0
DTXSID0027771	1.0
DTXSID0027773	1.0
DTXSID0028038	1.0
DTXSID0029262	1.0
DTXSID0032029	1.0
DTXSID0032493	1.0
DTXSID0032497	1.0
DTXSID0032520	1.0
DTXSID0032601	1.0
DTXSID0032651	1.0
DTXSID0034300	1.0
DTXSID0034803	1.0
DTXSID0037495	1.0
DTXSID0037522	1.0
DTXSID0039223	1.0
DTXSID0037237	1.0
DTXSID0041274	1.0
DTXSID0041567	1.0
DTXSID0041985	1.0
DTXSID0042086	1.0
DTXSID0042084	1.0
DTXSID0042248	1.0
DTXSID0042379	1.0
DTXSID0044367	1.0
DTXSID0044862	1.0
DTXSID0044993	1.0
DTXSID0047163	1.0
DTXSID0047246	1.0
DTXSID0047371	1.0
DTXSID0047325	1.0
DTXSID0047377	1.0
DTXSID0047379	1.0
DTXSID0048185	1.0
DTXSID0048183	1.0
DTXSID0048509	1.0
DTXSID1020148	1.0
DTXSID1020142	1.0
DTXSID1020221	1.0
DTXSID1020439	1.0
DTXSID1020485	1.0
DTXSID1020560	1.0
DTXSID1020855	1.0
DTXSID1020930	1.0
DTXSID1021031	1.0
DTXSID1021166	1.0
DTXSID1021322	1.0
DTXSID1021299	1.0
DTXSID1021871	1.0
DTXSID1022217	1.0
DTXSID1022479	1.0
DTXSID1022267	1.0
DTXSID1022394	1.0
DTXSID1022396	1.0
DTXSID1023869	1.0
DTXSID1023990	1.0
DTXSID1024091	1.0
DTXSID1024124	1.0
DTXSID1025017	1.0
DTXSID1025560	1.0
DTXSID1025809	1.0
DTXSID1025930	1.0
DTXSID1026031	1.0
DTXSID1026081	1.0
DTXSID1026900	1.0
DTXSID1027134	1.0
DTXSID1027500	1.0
DTXSID1027633	1.0
DTXSID1032484	1.0
DTXSID1032569	1.0
DTXSID1032640	1.0
DTXSID1032648	1.0
DTXSID1032646	1.0
DTXSID1032642	1.0
DTXSID1033161	1.0
DTXSID1034187	1.0
DTXSID1034181	1.0
DTXSID1034212	1.0
DTXSID1038666	1.0
DTXSID1040320	1.0
DTXSID1040619	1.0
DTXSID1040372	1.0
DTXSID1040611	1.0
DTXSID1041188	1.0
DTXSID1041502	1.0
DTXSID1041683	1.0
DTXSID1041978	1.0
DTXSID1042154	1.0
DTXSID1042499	1.0
DTXSID1042441	1.0
DTXSID1044487	1.0
DTXSID1044697	1.0
DTXSID1044936	1.0
DTXSID1044851	1.0
DTXSID1044982	1.0
DTXSID1047310	1.0
DTXSID1047366	1.0
DTXSID1047447	1.0
DTXSID1048209	1.0
DTXSID2020212	1.0
DTXSID2020420	1.0
DTXSID2020894	1.0
DTXSID2021151	1.0
DTXSID2021367	1.0
DTXSID2021650	1.0
DTXSID2021577	1.0
DTXSID2021575	1.0
DTXSID2022048	1.0
DTXSID2022123	1.0
DTXSID2022127	1.0
DTXSID2022678	1.0
DTXSID2023723	1.0
DTXSID2024086	1.0
DTXSID2023569	1.0
DTXSID2024242	1.0
DTXSID2024163	1.0
DTXSID2025505	1.0
DTXSID2025680	1.0
DTXSID2025842	1.0
DTXSID2026496	1.0
DTXSID2026232	1.0
DTXSID2026943	1.0
DTXSID2027204	1.0
DTXSID2027466	1.0
DTXSID2027206	1.0
DTXSID2029298	1.0
DTXSID2029874	1.0
DTXSID2032348	1.0
DTXSID2032344	1.0
DTXSID2032550	1.0
DTXSID2032554	1.0
DTXSID2032558	1.0
DTXSID2032398	1.0
DTXSID2033314	1.0
DTXSID2034700	1.0
DTXSID2035481	1.0
DTXSID2036112	1.0
DTXSID2037712	1.0
DTXSID2038788	1.0
DTXSID2040363	1.0
DTXSID2041206	1.0
DTXSID2040787	1.0
DTXSID2042276	1.0
